"","ORDER"
"1","Netuma thalassina"
"2","Xenentodon cancila"
"3","Heteropneustes fossilis"
"4","Badis badis"
"5","Naja naja"
"6","Felis chaus"
"7","Prionailurus viverrinus"
"8","Vanellus malabaricus"
"9","Numenius arquata"
"10","Chroicocephalus brunnicephalus"
"11","Sternula albifrons"
"12","Chlidonias hybrida"
"13","Sterna aurantia"
"14","Threskiornis melanocephalus"
"15","Haliaeetus leucogaster"
"16","Spilornis cheela"
"17","Circus aeruginosus"
"18","Alcedo atthis"
"19","Varanus bengalensis"
"20","Channa striata"
"21","Minervarya agricola"
"22","Macrognathus pancalus"
"23","Mastacembelus armatus"
"24","Trichogaster lalius"
"25","Trichogaster fasciata"
"26","Lissemys punctata"
"27","Parambassis baculis"
"28","Aplocheilus panchax"
"29","Hydrovatus confertus"
"30","Microhyla mymensinghensis"
"31","Enhydris enhydris"
"32","Fowlea piscator"
"33","Carp sp."
"34","Coracias benghalensis"
"35","Arcella discoides"
"36","Centropyxis aculeata"
"37","Brachionus calyciflorus"
"38","Brachionus forficula"
"39","Keratella lenzi"
"40","Lecane aculeata"
"41","Lecane bulla"
"42","Asplanchna brightwelli"
"43","Mesocyclops leukarti"
"44","Scapholeberis kingi"
"45","Macrothrix spinosa"
"46","Macrothrix goeldi"
"47","Alona pulchella"
"48","Coronatella rectangula"
"49","Tadorna ferruginea"
"50","Spatula querquedula"
"51","Anas acuta"
"52","Tachybaptus ruficollis"
"53","Centropus bengalensis"
"54","Gallinula chloropus"
"55","Fulica atra"
"56","Porphyrio poliocephalus"
"57","Amaurornis phoenicurus"
"58","Pluvialis fulva"
"59","Charadrius dubius"
"60","Vanellus indicus"
"61","Hydrophasianus chirurgus"
"62","Xenus cinereus"
"63","Tringa ochropus"
"64","Tringa nebularia"
"65","Tringa stagnatilis"
"66","Tringa glareola"
"67","Tringa tetanus"
"68","Mycteria leucocephala"
"69","Anhinga melanogaster"
"70","Phalacrocorax fuscicollis"
"71","Ardea cinerea"
"72","Ardea purpurea"
"73","Ardea alba"
"74","Nycticorax nycticorax"
"75","Plegadis falcinellus"
"76","Ceryle rudis"
"77","Merops philippinus"
"78","Oriolus kundoo"
"79","Oriolus xanthornus"
"80","Dicrurus caerulescens"
"81","Acridotheres ginginianus"
"82","Motacilla citreola"
"83","Motacilla tschutschensis"
"84","Motacilla alba"
"85","Channa punctata"
"86","Mystus tengara"
"87","Mystus vittatus"
"88","Glossogobius giuris"
"89","Oreochromis niloticus"
"90","Duttaphrynus melanostictus"
"91","Hoplobatrachus tigerinus"
"92","Channa gachua"
"93","Notopterus notopterus"
"94","Diplonychus annulatus"
"95","Diplonychus rusticus"
"96","Aquarius adelaides"
"97","Limnogonus fossarum"
"98","Laccotrephes griseus"
"99","Laccotrephes ruber"
"100","Ranatra elongata"
"101","Ranatra filiformis"
"102","Ranatra varipes"
"103","Anisops campbelli"
"104","Euphlyctis cyanophlyctis"
"105","Big fish juveniles"
"106","Puntius vittatus"
"107","Rasbora daniconius"
"108","Pethia phutunio"
"109","Herbaceous aquatic plants"
"110","Green Algae"
"111","Macrobrachium malcolmsonii"
"112","Macrobrachium rosenbergii"
"113","Macrobrachium rude"
"114","Macrobrachium equidens"
"115","Tadploes"
"116","Polypedates maculatus"
"117","Odonata sp."
"118","Detritus"
"119","Mosquito larvae"
"120","Dendrocygna javanica"
"121","Nettapus coromandelianus"
"122","Anas poecilorhyncha"
"123","Netta rufina"
"124","Himantopus himantopus"
"125","Metopidius indicus"
"126","Calidris minuta"
"127","Anastomus oscitans"
"128","Microcarbo niger"
"129","Ardea intermedia"
"130","Egretta garzetta"
"131","Bubulcus ibis"
"132","Ardeola grayii"
"133","Halcyon smyrnensis"
"134","Merops orientalis"
"135","Hirundo rustica"
