"","basal_removed_each","num_lost_each","num_remain_tot","num_removed_tot","num_lost_tot","prop_remain","prop_removed","name_lost","degree_type","nodes_susc","nontarget_lost_each","cum_nontarget_lost","Y","prop_target_removed"
"1",NA,0,135,0,0,1,0,"","given",132,0,0,1,0
"2","Netuma thalassina",1,134,1,1,0.992592592592593,0.00740740740740741,"Netuma thalassina","given",132,0,0,1,0.00740740740740741
"3","Xenentodon cancila",1,133,2,2,0.985185185185185,0.0148148148148148,"Xenentodon cancila","given",132,0,0,1,0.0148148148148148
"4","Heteropneustes fossilis",1,132,3,3,0.977777777777778,0.0222222222222222,"Heteropneustes fossilis","given",132,0,0,1,0.0222222222222222
"5","Badis badis",1,131,4,4,0.97037037037037,0.0296296296296296,"Badis badis","given",132,0,0,1,0.0296296296296296
"6","Naja naja",1,130,5,5,0.962962962962963,0.037037037037037,"Naja naja","given",132,0,0,1,0.037037037037037
"7","Felis chaus",1,129,6,6,0.955555555555556,0.0444444444444444,"Felis chaus","given",132,0,0,1,0.0444444444444444
"8","Prionailurus viverrinus",1,128,7,7,0.948148148148148,0.0518518518518519,"Prionailurus viverrinus","given",132,0,0,1,0.0518518518518519
"9","Vanellus malabaricus",1,127,8,8,0.940740740740741,0.0592592592592593,"Vanellus malabaricus","given",132,0,0,1,0.0592592592592593
"10","Numenius arquata",1,126,9,9,0.933333333333333,0.0666666666666667,"Numenius arquata","given",132,0,0,1,0.0666666666666667
"11","Chroicocephalus brunnicephalus",1,125,10,10,0.925925925925926,0.0740740740740741,"Chroicocephalus brunnicephalus","given",132,0,0,1,0.0740740740740741
"12","Sternula albifrons",1,124,11,11,0.918518518518519,0.0814814814814815,"Sternula albifrons","given",132,0,0,1,0.0814814814814815
"13","Chlidonias hybrida",1,123,12,12,0.911111111111111,0.0888888888888889,"Chlidonias hybrida","given",132,0,0,1,0.0888888888888889
"14","Sterna aurantia",1,122,13,13,0.903703703703704,0.0962962962962963,"Sterna aurantia","given",132,0,0,1,0.0962962962962963
"15","Threskiornis melanocephalus",1,121,14,14,0.896296296296296,0.103703703703704,"Threskiornis melanocephalus","given",132,0,0,1,0.103703703703704
"16","Haliaeetus leucogaster",1,120,15,15,0.888888888888889,0.111111111111111,"Haliaeetus leucogaster","given",132,0,0,1,0.111111111111111
"17","Spilornis cheela",1,119,16,16,0.881481481481482,0.118518518518519,"Spilornis cheela","given",132,0,0,1,0.118518518518519
"18","Circus aeruginosus",1,118,17,17,0.874074074074074,0.125925925925926,"Circus aeruginosus","given",132,0,0,1,0.125925925925926
"19","Alcedo atthis",1,117,18,18,0.866666666666667,0.133333333333333,"Alcedo atthis","given",132,0,0,1,0.133333333333333
"20","Varanus bengalensis",1,116,19,19,0.859259259259259,0.140740740740741,"Varanus bengalensis","given",132,0,0,1,0.140740740740741
"21","Channa striata",1,115,20,20,0.851851851851852,0.148148148148148,"Channa striata","given",132,0,0,1,0.148148148148148
"22","Minervarya agricola",1,114,21,21,0.844444444444444,0.155555555555556,"Minervarya agricola","given",132,0,0,1,0.155555555555556
"23","Macrognathus pancalus",1,113,22,22,0.837037037037037,0.162962962962963,"Macrognathus pancalus","given",132,0,0,1,0.162962962962963
"24","Mastacembelus armatus",1,112,23,23,0.82962962962963,0.17037037037037,"Mastacembelus armatus","given",132,0,0,1,0.17037037037037
"25","Trichogaster lalius",1,111,24,24,0.822222222222222,0.177777777777778,"Trichogaster lalius","given",132,0,0,1,0.177777777777778
"26","Trichogaster fasciata",1,110,25,25,0.814814814814815,0.185185185185185,"Trichogaster fasciata","given",132,0,0,1,0.185185185185185
"27","Lissemys punctata",1,109,26,26,0.807407407407407,0.192592592592593,"Lissemys punctata","given",132,0,0,1,0.192592592592593
"28","Parambassis baculis",1,108,27,27,0.8,0.2,"Parambassis baculis","given",132,0,0,1,0.2
"29","Aplocheilus panchax",1,107,28,28,0.792592592592593,0.207407407407407,"Aplocheilus panchax","given",132,0,0,1,0.207407407407407
"30","Hydrovatus confertus",1,106,29,29,0.785185185185185,0.214814814814815,"Hydrovatus confertus","given",132,0,0,1,0.214814814814815
"31","Microhyla mymensinghensis",1,105,30,30,0.777777777777778,0.222222222222222,"Microhyla mymensinghensis","given",132,0,0,1,0.222222222222222
"32","Enhydris enhydris",1,104,31,31,0.77037037037037,0.22962962962963,"Enhydris enhydris","given",132,0,0,1,0.22962962962963
"33","Fowlea piscator",1,103,32,32,0.762962962962963,0.237037037037037,"Fowlea piscator","given",132,0,0,1,0.237037037037037
"34","Carp sp.",1,102,33,33,0.755555555555556,0.244444444444444,"Carp sp.","given",132,0,0,1,0.244444444444444
"35","Coracias benghalensis",1,101,34,34,0.748148148148148,0.251851851851852,"Coracias benghalensis","given",132,0,0,1,0.251851851851852
"36","Arcella discoides",1,100,35,35,0.740740740740741,0.259259259259259,"Arcella discoides","given",132,0,0,1,0.259259259259259
"37","Centropyxis aculeata",1,99,36,36,0.733333333333333,0.266666666666667,"Centropyxis aculeata","given",132,0,0,1,0.266666666666667
"38","Brachionus calyciflorus",1,98,37,37,0.725925925925926,0.274074074074074,"Brachionus calyciflorus","given",132,0,0,1,0.274074074074074
"39","Brachionus forficula",1,97,38,38,0.718518518518519,0.281481481481481,"Brachionus forficula","given",132,0,0,1,0.281481481481481
"40","Keratella lenzi",1,96,39,39,0.711111111111111,0.288888888888889,"Keratella lenzi","given",132,0,0,1,0.288888888888889
"41","Lecane aculeata",1,95,40,40,0.703703703703704,0.296296296296296,"Lecane aculeata","given",132,0,0,1,0.296296296296296
"42","Lecane bulla",2,93,41,42,0.688888888888889,0.303703703703704,"Anisops campbelli;Lecane bulla","given",132,1,1,0.992424242424242,0.303703703703704
"43","Asplanchna brightwelli",1,92,42,43,0.681481481481481,0.311111111111111,"Asplanchna brightwelli","given",132,0,1,0.992424242424242,0.311111111111111
"44","Mesocyclops leukarti",1,91,43,44,0.674074074074074,0.318518518518519,"Mesocyclops leukarti","given",132,0,1,0.992424242424242,0.318518518518519
"45","Scapholeberis kingi",1,90,44,45,0.666666666666667,0.325925925925926,"Scapholeberis kingi","given",132,0,1,0.992424242424242,0.325925925925926
"46","Macrothrix spinosa",1,89,45,46,0.659259259259259,0.333333333333333,"Macrothrix spinosa","given",132,0,1,0.992424242424242,0.333333333333333
"47","Macrothrix goeldi",1,88,46,47,0.651851851851852,0.340740740740741,"Macrothrix goeldi","given",132,0,1,0.992424242424242,0.340740740740741
"48","Alona pulchella",1,87,47,48,0.644444444444444,0.348148148148148,"Alona pulchella","given",132,0,1,0.992424242424242,0.348148148148148
"49","Coronatella rectangula",3,84,48,51,0.622222222222222,0.355555555555556,"Mystus tengara;Macrobrachium rude;Coronatella rectangula","given",132,2,3,0.977272727272727,0.355555555555556
"50","Tadorna ferruginea",1,83,49,52,0.614814814814815,0.362962962962963,"Tadorna ferruginea","given",132,0,3,0.977272727272727,0.362962962962963
"51","Spatula querquedula",1,82,50,53,0.607407407407407,0.37037037037037,"Spatula querquedula","given",132,0,3,0.977272727272727,0.37037037037037
"52","Anas acuta",1,81,51,54,0.6,0.377777777777778,"Anas acuta","given",132,0,3,0.977272727272727,0.377777777777778
"53","Tachybaptus ruficollis",1,80,52,55,0.592592592592593,0.385185185185185,"Tachybaptus ruficollis","given",132,0,3,0.977272727272727,0.385185185185185
"54","Centropus bengalensis",1,79,53,56,0.585185185185185,0.392592592592593,"Centropus bengalensis","given",132,0,3,0.977272727272727,0.392592592592593
"55","Gallinula chloropus",1,78,54,57,0.577777777777778,0.4,"Gallinula chloropus","given",132,0,3,0.977272727272727,0.4
"56","Fulica atra",1,77,55,58,0.57037037037037,0.407407407407407,"Fulica atra","given",132,0,3,0.977272727272727,0.407407407407407
"57","Porphyrio poliocephalus",1,76,56,59,0.562962962962963,0.414814814814815,"Porphyrio poliocephalus","given",132,0,3,0.977272727272727,0.414814814814815
"58","Amaurornis phoenicurus",1,75,57,60,0.555555555555556,0.422222222222222,"Amaurornis phoenicurus","given",132,0,3,0.977272727272727,0.422222222222222
"59","Pluvialis fulva",1,74,58,61,0.548148148148148,0.42962962962963,"Pluvialis fulva","given",132,0,3,0.977272727272727,0.42962962962963
"60","Charadrius dubius",1,73,59,62,0.540740740740741,0.437037037037037,"Charadrius dubius","given",132,0,3,0.977272727272727,0.437037037037037
"61","Vanellus indicus",1,72,60,63,0.533333333333333,0.444444444444444,"Vanellus indicus","given",132,0,3,0.977272727272727,0.444444444444444
"62","Hydrophasianus chirurgus",1,71,61,64,0.525925925925926,0.451851851851852,"Hydrophasianus chirurgus","given",132,0,3,0.977272727272727,0.451851851851852
"63","Xenus cinereus",1,70,62,65,0.518518518518518,0.459259259259259,"Xenus cinereus","given",132,0,3,0.977272727272727,0.459259259259259
"64","Tringa ochropus",1,69,63,66,0.511111111111111,0.466666666666667,"Tringa ochropus","given",132,0,3,0.977272727272727,0.466666666666667
